"Type","Buy","Cur.","Sell","Cur.","Fee","Cur.","Exchange","Group","Comment","Date","Tx-ID"
"Trade","1.50000000","ETH","4500.00","USD","15.00","USD","Coinbase","","Bought ETH on Coinbase","2021-05-10 14:23:05","CB-TR-1001"
"Trade","1.50000000","ETH","4500.00","USD","15.00","USD","Coinbase","","Duplicate import of CB-TR-1001","2021-05-10 14:23:05","CB-TR-1001"
"Deposit","5000.00","USD","","","0.00","USD","Coinbase","","ACH Deposit","2021-05-01 09:00:00",""
"Withdrawal","","","0.50000000","ETH","0.00500000","ETH","Coinbase","","Withdraw to Ledger","2021-06-01 12:00:00","0xabc123456789def"
"Trade","2250.00","USD","0.05000000","BTC","0.00","USD","Coinbase","","Sold BTC but forgot fee in CT","2021-08-14 19:30:00",""
"Trade","100.00000000","USDC","100.00","USD","0.00","USD","Coinbase","","Ghost record never executed on exchange","2021-09-10 15:00:00",""
"Trade","0.10000000","BTC","3200.00","USD","11.20","USD","Gemini","","Gemini BTC Buy","2021-06-15 10:15:30","GEM-987654"
"Trade","2.00000000","ETH","7000.00","USD","7.00","USD","Gemini","","Gemini ETH Sell (local EDT time 12:40:10 instead of UTC 16:40:10)","2021-09-01 12:40:10",""
"Trade","2.50000000","LTC","0.01500000","BTC","0.00003750","BTC","Bittrex","","LTC/BTC limit buy","2021-07-20 18:45:12","bit-order-5544"
"Trade","10000.00","USD","0.25000000","BTC","25.00","USD","Bittrex","","Bittrex BTC sell","2021-08-05 11:20:00","bit-order-7788"
